variable,question_text,description,type,values
consent,I am 18+ and consent to take part. I understand anonymised data will be published openly.,Consent to participate and allow anonymised data to be published.,categorical,Allowed values: yes (stored as 'yes'; original raw label: 'Yes').
information_trustworthiness,I often question whether information I see online is trustworthy.,Frequency of questioning the trustworthiness of online information.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
hard_to_know_what_is_real,It feels harder than it used to be to know what is real and what is not online.,Perceived difficulty distinguishing what is real online compared with the past.,"numeric,",Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
worry_ai_makes_deception_easier,I worry that AI-generated content makes it easier to deceive people.,Concern that AI-generated content increases the ease of deceiving people.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
feel_overwhelmed_by_conflicting_info,I feel overwhelmed by the amount of conflicting information online.,Feeling overwhelmed by conflicting information online.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
unsure_which_sources_to_rely_on,I often feel unsure which sources to rely on.,Frequency of feeling unsure which information sources to trust.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
difficult_to_detect_manipulated_info,I find it difficult to tell when information has been manipulated.,Perceived difficulty detecting manipulated information online.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
anxious_when_uncertain_what_to_trust,Not knowing what to trust makes me feel anxious or uneasy.,Anxiety or unease caused by not knowing what to trust online.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
avoid_online_content_due_to_uncertainty,I sometimes avoid engaging with online content because I don't know what to believe.,Tendency to avoid online content due to uncertainty about what to believe.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
check_visual_clues_for_ai,"I look for visual clues (lighting, texture, realism) to check if something might be AI-generated.",Use of visual inspection strategies to detect synthetic content.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
check_behavioural_clues_for_ai,"I look for behavioural cues (tone, consistency, human imperfections) to judge authenticity.",Use of behavioural or content cues to assess authenticity.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
confident_identifying_synthetic_signals,I feel confident noticing details that indicate content may be synthetic.,Self-rated confidence in detecting synthetic or AI-generated signals.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
trust_instinct_real_vs_fake,I trust my instincts when deciding whether something online is real or fake.,Degree of reliance on intuition when judging authenticity.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
believe_people_struggle_detect_ai_media,I believe most people would struggle to identify AI-generated media.,Belief about the general public’s ability to detect AI-generated content.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
confidence_verifying_information,I feel confident verifying information online.,Self-rated confidence in ability to verify online information.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
double_check_when_unsure,"When I'm unsure, I double-check using other sources.",Tendency to verify information using additional sources when uncertain.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
strategies_for_identifying_unreliable_content,I have strategies that help me identify unreliable content.,Perceived presence of strategies for identifying unreliable content.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
want_clearer_verification_methods,I would like clearer ways to verify whether something online is real.,Desire for clearer or more effective methods of verifying online content.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
ai_content_makes_trust_harder,AI-generated media makes me feel less certain about what is real.,Perception that AI-generated media increases uncertainty about authenticity.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
more_cautious_due_to_ai_media,The rise of AI-generated media makes me more cautious in my daily life.,Degree to which AI-generated media increases day-to-day caution.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
expect_ai_replace_human_images_voices_interactions,"I expect AI will increasingly replace real human images, voices, and interactions.",Expectation that AI will replace human-generated media and interactions.,numeric,Scale 1-7 1 = Strongly disagree ; 4 = Neutral ; 7 = Strongly agree
recent_moment_questioned_reality,Describe a recent moment where you questioned whether something online was real or artificially generated.,Open-ended description of a recent experience doubting the authenticity of online content.,text,"Open-text responses describing a recent moment where participants questioned whether something online was real or artificially generated. Minimal cleaning applied (whitespace trimming, newline removal). Raw wording preserved exactly. Empty string indicates no response."
trust_ai_to_act_in_best_interests,How much do you trust AI systems to act in your best interests?,Level of trust that AI systems act in the participant’s best interests.,numeric,Scale 1-7 1 = Not at all ; 7 = Completely
what_matters_most,How clear do you feel about what matters most in your life right now?,Self-rated clarity about what matters most in life.,numeric,Scale 1-7 1 = Not clear at all ; 7 = Extremely clear
digital_life_effect_on_focus,"How much does modern digital life affect your ability to focus, decide, or think clearly?","Perceived impact of digital life on focus, decision-making, and clear thinking.",numeric,Scale 1-7 1 = Not at all ; 7 = Very strongly
feelings_about_ai_in_decision_making,How do you feel about the growing role of AI in everyday decision-making?,Overall feeling about the growing role of AI in everyday decisions.,numeric,Scale 1-7 1 = Very negative ; 7 = Very positive
ai_values_multi,Which values do you believe AI systems should reflect? (select up to 3),Values participants believe AI systems should reflect (multi-select).,multi_select,"Multi-select; stored as semicolon-separated snake_case tokens: honesty, empathy, fairness, respect, responsibility, human_wellbeing, non_harm, transparency, accountability."
age_group,What is your age group?,Participant age group.,categorical,"Allowed values: 18_24, 25_34, 35_44, 45_54, 55_65, over_65."
gender,Which of the following best describes your gender?,Participant gender identity.,categorical,"Allowed values: man, woman, non_binary, prefer_not_to_say."
country,Country of residence.,Participant country of residence.,categorical,"Allowed values (ISO-like codes): au, ca, ie, nz, uk, us."
education_level,What is your highest level of education?,Highest level of education completed.,categorical,"Allowed values: less_than_high_school, high_school, some_university_college, bachelors_degree, postgraduate_degree, other."
work_status,Which of the following best describes your current work status?,Participant employment or occupational status.,categorical,"Allowed values: student, employed_full_time, employed_part_time, self_employed, not_currently_working, other."
hours_online_per_day,"On average, how many hours do you spend online each day? (self-estimate)",Estimated number of hours spent online per day.,numeric,"Allowed values (stored as snake_case categories): lt_2_hours, 2_4_hours, 5_6_hours, 7_8_hours, 9_10_hours, 11_12_hours, gt_12_hours."
ai_tool_use_frequency,"How often do you use digital or AI-powered tools (e.g., ChatGPT, Copilot, Gemini, AI-enhanced search) in your daily life?",Frequency of using AI-powered or digital tools.,categorical,"Allowed values (stored as snake_case): never, rarely, sometimes, occasionally, often, very_often, everyday."
emotional_wellbeing,How would you describe your general emotional wellbeing?,Self-rated emotional wellbeing.,numeric,Scale 1-7 1 = Very poor ; 7 = Excellent
